chembl_id	link_name	link
CHEMBL847	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL44393	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL431920	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42113	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL297036	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42887	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42452	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL847	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL44393	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL431920	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42452	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL847	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42113	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL297036	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL44393	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL431920	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42113	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42887	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42452	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL847	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL44393	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL42887	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
CHEMBL297036	J. Med. Chem. (1988) 31:8	https://doi.org/10.1021/jm00403a024
